Unnamed: 0,Order Size,Order Division,Current Position,Shelves,Division Path,Division Path Cost,Shelf Path,Shelf Path Cost,Total Path,Total Path Cost
18,2,11,10,"[10, 52]","[10, 5, 11]",50,"[1, 2, 5, 10, 5, 2, 1, 3, 6, 13, 26, 52, 26, 13, 6, 3, 1]",18,"[10, 5, 11, 1, 2, 5, 10, 5, 2, 1, 3, 6, 13, 26, 52, 26, 13, 6, 3, 1]",68
46,2,1,8,"[17, 49]","[8, 4, 2, 1]",50,"[1, 2, 4, 8, 17, 8, 4, 2, 1, 3, 6, 12, 24, 49, 24, 12, 6, 3, 1]",20,"[8, 4, 2, 1, 1, 2, 4, 8, 17, 8, 4, 2, 1, 3, 6, 12, 24, 49, 24, 12, 6, 3, 1]",70
79,2,7,6,"[34, 47]","[6, 3, 7]",50,"[1, 2, 4, 8, 17, 34, 17, 8, 4, 2, 5, 11, 23, 47, 23, 11, 5, 2, 1]",20,"[6, 3, 7, 1, 2, 4, 8, 17, 34, 17, 8, 4, 2, 5, 11, 23, 47, 23, 11, 5, 2, 1]",70
26,2,1,14,"[32, 53]","[14, 7, 3, 1]",50,"[1, 2, 4, 8, 16, 32, 16, 8, 4, 2, 1, 3, 6, 13, 26, 53, 26, 13, 6, 3, 1]",22,"[14, 7, 3, 1, 1, 2, 4, 8, 16, 32, 16, 8, 4, 2, 1, 3, 6, 13, 26, 53, 26, 13, 6, 3, 1]",72
81,1,6,1,[38],"[1, 3, 6]",60,"[1, 2, 4, 9, 19, 38, 19, 9, 4, 2, 1]",12,"[1, 3, 6, 1, 2, 4, 9, 19, 38, 19, 9, 4, 2, 1]",72
74,2,1,6,"[4, 41]","[6, 3, 1]",60,"[1, 2, 4, 2, 5, 10, 20, 41, 20, 10, 5, 2, 1]",14,"[6, 3, 1, 1, 2, 4, 2, 5, 10, 20, 41, 20, 10, 5, 2, 1]",74
9,3,7,6,"[13, 33, 38]","[6, 3, 7]",50,"[1, 3, 6, 13, 6, 3, 1, 2, 4, 8, 16, 33, 16, 8, 4, 9, 19, 38, 19, 9, 4, 2, 1]",24,"[6, 3, 7, 1, 3, 6, 13, 6, 3, 1, 2, 4, 8, 16, 33, 16, 8, 4, 9, 19, 38, 19, 9, 4, 2, 1]",74
4,3,7,6,"[17, 39, 51]","[6, 3, 7]",50,"[1, 2, 4, 8, 17, 8, 4, 9, 19, 39, 19, 9, 4, 2, 1, 3, 6, 12, 25, 51, 25, 12, 6, 3, 1]",26,"[6, 3, 7, 1, 2, 4, 8, 17, 8, 4, 9, 19, 39, 19, 9, 4, 2, 1, 3, 6, 12, 25, 51, 25, 12, 6, 3, 1]",76
3,2,6,1,"[19, 34]","[1, 3, 6]",60,"[1, 2, 4, 9, 19, 9, 4, 8, 17, 34, 17, 8, 4, 2, 1]",16,"[1, 3, 6, 1, 2, 4, 9, 19, 9, 4, 8, 17, 34, 17, 8, 4, 2, 1]",76
47,2,6,1,"[25, 57]","[1, 3, 6]",60,"[1, 3, 6, 12, 25, 12, 6, 3, 7, 14, 28, 57, 28, 14, 7, 3, 1]",18,"[1, 3, 6, 1, 3, 6, 12, 25, 12, 6, 3, 7, 14, 28, 57, 28, 14, 7, 3, 1]",78
34,3,6,7,"[35, 48, 56]","[7, 3, 6]",50,"[1, 2, 4, 8, 17, 35, 17, 8, 4, 2, 1, 3, 6, 12, 24, 48, 24, 12, 6, 3, 7, 14, 28, 56, 28, 14, 7, 3, 1]",30,"[7, 3, 6, 1, 2, 4, 8, 17, 35, 17, 8, 4, 2, 1, 3, 6, 12, 24, 48, 24, 12, 6, 3, 7, 14, 28, 56, 28, 14, 7, 3, 1]",80
59,1,4,7,[56],"[7, 3, 1, 2, 4]",70,"[1, 3, 7, 14, 28, 56, 28, 14, 7, 3, 1]",12,"[7, 3, 1, 2, 4, 1, 3, 7, 14, 28, 56, 28, 14, 7, 3, 1]",82
77,1,3,5,[33],"[5, 2, 1, 3]",70,"[1, 2, 4, 8, 16, 33, 16, 8, 4, 2, 1]",12,"[5, 2, 1, 3, 1, 2, 4, 8, 16, 33, 16, 8, 4, 2, 1]",82
1,1,7,8,[15],"[8, 4, 2, 1, 3, 7]",80,"[1, 3, 7, 15, 7, 3, 1]",8,"[8, 4, 2, 1, 3, 7, 1, 3, 7, 15, 7, 3, 1]",88
84,2,6,15,"[37, 47]","[15, 7, 3, 6]",70,"[1, 2, 4, 9, 18, 37, 18, 9, 4, 2, 5, 11, 23, 47, 23, 11, 5, 2, 1]",20,"[15, 7, 3, 6, 1, 2, 4, 9, 18, 37, 18, 9, 4, 2, 5, 11, 23, 47, 23, 11, 5, 2, 1]",90
92,1,13,1,[26],"[1, 3, 6, 13]",80,"[1, 3, 6, 13, 26, 13, 6, 3, 1]",10,"[1, 3, 6, 13, 1, 3, 6, 13, 26, 13, 6, 3, 1]",90
63,2,6,15,"[44, 52]","[15, 7, 3, 6]",70,"[1, 2, 5, 11, 22, 44, 22, 11, 5, 2, 1, 3, 6, 13, 26, 52, 26, 13, 6, 3, 1]",22,"[15, 7, 3, 6, 1, 2, 5, 11, 22, 44, 22, 11, 5, 2, 1, 3, 6, 13, 26, 52, 26, 13, 6, 3, 1]",92
